Identifier	Name	colname	Synonyms	Action	Clinical.Stage	Putative.Target	Targeted.process.pathway	PubChem_CID	PubChem_SMILES	filename	PubChem	remark
1012	Vorinostat	Vorinostat	"Zolinza, SAHA"	targeted	clinically approved	"HDAC inhibitor Class I, IIa, IIb, IV"	chromain  histone acetylation	5311	C1=CC=C(C=C1)NC(=O)CCCCCCC(=O)NO	Vorinostat	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5311"" target= ""_blank"">PubChem</a>"	
1019	Bosutinib	Bosutinib	"Bosulif, SKI-606"	targeted	clinically approved	"SRC, ABL, TEC"	ABL signaling	5328940	CN1CCN(CC1)CCCOC2=C(C=C3C(=C2)N=CC(=C3NC4=CC(=C(C=C4Cl)Cl)OC)C#N)OC	Bosutinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5328940"" target= ""_blank"">PubChem</a>"	
1020	Lenalidomide	Lenalidomide	Revlimid	targeted	clinically approved	TNFA	other	216326	C1CC(=O)NC(=O)C1N2CC3=C(C2=O)C=CC=C3N	Lenalidomide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/216326"" target= ""_blank"">PubChem</a>"	
1004	Vinblastine	Vinblastine	Vinblastine sulphate	cytotoxic	clinically approved	Microtubules	cytoskeleton	13342	CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC)O	Vinblastine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/13342"" target= ""_blank"">PubChem</a>"	Updated
1005	Cisplatin	Cisplatin	"cisplatin, cis-Diammineplatinum(II) dichloride"	cytotoxic	clinically approved	DNA crosslinker	DNA replication	5702198	N.N.[Cl-].[Cl-].[Pt+2]	Cisplatin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5702198"" target= ""_blank"">PubChem</a>"	Updated
1007	Docetaxel	Docetaxel	RP-56976	cytotoxic	clinically approved	Microtubules	cytoskeleton	148124	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)OC(C)(C)C)O)O)OC(=O)C6=CC=CC=C6)(CO4)OC(=O)C)O)C)O	Docetaxel	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/148124"" target= ""_blank"">PubChem</a>"	
1017	Olaparib	Olaparib	"Lynparza, KU0059436, AZD-2281"	targeted	in clinical development	"PARP1, PARP2"	Genome integrity	23725625	C1CC1C(=O)N2CCN(CC2)C(=O)C3=C(C=CC(=C3)CC4=NNC(=O)C5=CC=CC=C54)F	Olaparib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/23725625"" target= ""_blank"">PubChem</a>"	
1018	ABT-888	ABT-888	Veliparib	targeted	in clinical development	"PARP1, PARP2"	Genome integrity	45480520	 C[C@@]1(CCCN1)C2=NC3=C(C=CC=C3N2)C(=O)N.Cl.Cl	ABT-888	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/45480520"" target= ""_blank"">PubChem</a>"	
1026	17-AAG	17-AAG	"Telatinib, tanespimycin"	targeted	in clinical development	HSP90	other	6505803	C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC	17-AAG	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6505803"" target= ""_blank"">PubChem</a>"	
1033	Vismodegib	Vismodegib	Erivedge	targeted	in clinical development	SMO	other	24776445	CS(=O)(=O)C1=CC(=C(C=C1)C(=O)NC2=CC(=C(C=C2)Cl)C3=CC=CC=N3)Cl	Vismodegib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24776445"" target= ""_blank"">PubChem</a>"	
1003	Camptothecin	Camptothecin	"7-Ethyl-10-Hydroxy-Camptothecin,SN-38"	cytotoxic	clinically approved	TOP1	DNA replication	24360	CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=CC5=CC=CC=C5N=C4C3=C2)O	Camptothecin	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24360"" target= ""_blank"">PubChem</a>"	
1008	Methotrexate	Methotrexate		cytotoxic	clinically approved	Dihydrofolate reductase (DHFR)	DNA replication	126941	CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O	Methotrexate	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/126941"" target= ""_blank"">PubChem</a>"	
1011	ABT-263	ABT-263	Navitoclax	targeted	in clinical development	"BCL2, BCL2L1, BCL2L2"	apoptosis regulation	24978538	CC1(CCC(=C(C1)CN2CCN(CC2)C3=CC=C(C=C3)C(=O)NS(=O)(=O)C4=CC(=C(C=C4)N[C@H](CCN5CCOCC5)CSC6=CC=CC=C6)S(=O)(=O)C(F)(F)F)C7=CC=C(C=C7)Cl)C	ABT-263	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24978538"" target= ""_blank"">PubChem</a>"	
1022	AZD7762	AZD7762		targeted	in clinical development	"CHEK1, CHEK2"	Genome integrity	11152667	C1C[C@@H](CNC1)NC(=O)C2=C(C=C(S2)C3=CC(=CC=C3)F)NC(=O)N	AZD7762	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11152667"" target= ""_blank"">PubChem</a>"	
1024	CEP-701	CEP-701	Lestaurtinib	targeted	in clinical development	"FLT3, JAK2, NTRK1, RET"	RTK signaling	126565	C[C@@]12[C@](C[C@@H](O1)N3C4=CC=CC=C4C5=C6C(=C7C8=CC=CC=C8N2C7=C53)CNC6=O)(CO)O	CEP-701	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/126565"" target= ""_blank"">PubChem</a>"	
1029	AMG-706	AMG-706	Motesanib Diphosphate	targeted	in clinical development	"VEGFR, RET, c-KIT, PDGFR"	RTK signaling	11667893	CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C	AMG-706	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11667893"" target= ""_blank"">PubChem</a>"	
1031	Elesclomol	Elesclomol		targeted	in clinical development	HSP70	other	300471	CN(C(=S)C1=CC=CC=C1)NC(=O)CC(=O)NN(C)C(=S)C2=CC=CC=C2	Elesclomol	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/300471"" target= ""_blank"">PubChem</a>"	
1032	Afatinib	Afatinib	"Gilotrif, BIBW2992, Tovok"	targeted	clinically approved	"ERBB2, EGFR"	EGFR signaling	10184653	CN(C)C/C=C/C(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)O[C@H]4CCOC4	Afatinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10184653"" target= ""_blank"">PubChem</a>"	
1037	BX-795	BX-795		targeted	in clinical development	"TBK1, PDPK1, IKK, AURKB, AURKC"	other	10077147	C1CCN(C1)C(=O)NC2=CC=CC(=C2)NC3=NC=C(C(=N3)NCCCNC(=O)C4=CC=CS4)I	BX-795	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10077147"" target= ""_blank"">PubChem</a>"	
1047	Nutlin-3a	Nutlin-3a		targeted	in clinical development	MDM2	p53 pathway	11433190	CC(C)OC1=C(C=CC(=C1)OC)C2=N[C@H]([C@H](N2C(=O)N3CCNC(=O)C3)C4=CC=C(C=C4)Cl)C5=CC=C(C=C5)Cl	Nutlin-3a	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11433190"" target= ""_blank"">PubChem</a>"	
1049	PD-173074	PD-173074		targeted	experimental	"FGFR1, FGFR3"	RTK signaling	1401	CCN(CC)CCCCNC1=NC2=NC(=C(C=C2C=N1)C3=CC(=CC(=C3)OC)OC)NC(=O)NC(C)(C)C	PD-173074	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/1401"" target= ""_blank"">PubChem</a>"	
1052	RO-3306	RO-3306		targeted	experimental	CDK1	cell cycle	135400873	C1=CC2=C(C=CC(=C2)/C=C/3\C(=O)N=C(S3)NCC4=CC=CS4)N=C1	RO-3306	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/135400873"" target= ""_blank"">PubChem</a>"	
1030	KU-55933	KU-55933		targeted	experimental	ATM	Genome integrity	5278396	C1COCCN1C2=CC(=O)C=C(O2)C3=C4C(=CC=C3)SC5=CC=CC=C5S4	KU-55933	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5278396"" target= ""_blank"">PubChem</a>"	
1036	PLX4720	PLX4720	"vemurafenib analog, Zelboraf (derivative)"	targeted	clinically approved	BRAF	ERK MAPK signaling	24180719	CCCS(=O)(=O)NC1=C(C(=C(C=C1)F)C(=O)C2=CNC3=C2C=C(C=N3)Cl)F	PLX4720	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24180719"" target= ""_blank"">PubChem</a>"	
1021	Axitinib	Axitinib	AG-013736	targeted	in clinical development	"PDGFR, KIT, VEGFR"	RTK signaling	6450551	CNC(=O)C1=CC=CC=C1SC2=CC3=C(C=C2)C(=NN3)/C=C/C4=CC=CC=N4	Axitinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6450551"" target= ""_blank"">PubChem</a>"	
1023	GW 441756	GW_441756		targeted	experimental	NTRK1	RTK signaling	9943465	CN1C=C(C2=CC=CC=C21)/C=C\3/C4=C(C=CC=N4)NC3=O	GW_441756	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9943465"" target= ""_blank"">PubChem</a>"	Updated
1028	VX-702	VX-702		targeted	in clinical development	p38	JNK and p38 signaling	10341154	C1=CC(=C(C(=C1)F)N(C2=NC(=C(C=C2)C(=O)N)C3=C(C=C(C=C3)F)F)C(=O)N)F	VX-702	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10341154"" target= ""_blank"">PubChem</a>"	
1043	JNK Inhibitor VIII	JNK_Inhibitor_VIII		targeted	experimental	JNK	JNK and p38 signaling	11624601	CCOC1=C(C(=CC(=N1)NC(=O)CC2=C(C=CC(=C2)OC)OC)N)C#N	JNK_Inhibitor_VIII	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11624601"" target= ""_blank"">PubChem</a>"	
1006	Cytarabine	Cytarabine	"Ara-Cytidine,Arabinosyl Cytosine,U-19920"	cytotoxic	clinically approved	DNA synthesis	DNA replication	6253	C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](O2)CO)O)O	Cytarabine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6253"" target= ""_blank"">PubChem</a>"	
1010	Gefitinib	Gefitinib	"Iressa, ZD-1839"	targeted	clinically approved	EGFR	EGFR signaling	123631	COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4	Gefitinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/123631"" target= ""_blank"">PubChem</a>"	
1038	NU-7441	NU-7441	KU-57788	targeted	experimental	PRKDC (DNAPK)	Genome integrity	11327430	C1COCCN1C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC5=C4SC6=CC=CC=C56	NU-7441	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11327430"" target= ""_blank"">PubChem</a>"	
1057	NVP-BEZ235	NVP-BEZ235	BEZ235	targeted	in clinical development	PI3K (Class 1) and MTORC1/2	PI3K signaling	11977753	CC(C)(C#N)C1=CC=C(C=C1)N2C3=C4C=C(C=CC4=NC=C3N(C2=O)C)C5=CC6=CC=CC=C6N=C5	NVP-BEZ235	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11977753"" target= ""_blank"">PubChem</a>"	
1058	GDC0941	GDC0941		targeted	in clinical development	PI3K (class 1)	PI3K signaling	17755052	CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6	GDC0941	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/17755052"" target= ""_blank"">PubChem</a>"	
1059	AZD8055	AZD8055	pp242	targeted	in clinical development	MTORC1/2	TOR signaling	25262965	C[C@H]1COCCN1C2=NC(=NC3=C2C=CC(=N3)C4=CC(=C(C=C4)OC)CO)N5CCOC[C@@H]5C	AZD8055	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/25262965"" target= ""_blank"">PubChem</a>"	
1060	PD-0325901	PD-0325901		targeted	in clinical development	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	9826528	C1=CC(=C(C=C1I)F)NC2=C(C=CC(=C2F)F)C(=O)NOC[C@@H](CO)O	PD-0325901	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9826528"" target= ""_blank"">PubChem</a>"	
1001	AICAR	AICAR		targeted	in clinical development	AAPK1 (AMPK) agonist	metabolism	17513	C1=NC(=C(N1[C@H]2[C@@H]([C@@H]([C@H](O2)CO)O)O)N)C(=O)N	AICAR	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/17513 "" target= ""_blank"">PubChem</a>"	Updated
1009	ATRA	ATRA	"Tretinoin, Vesanoid"	targeted	clinically approved	Retinoic acid and retinoid X receptor agonist	other	444795	CC1=C(C(CCC1)(C)C)/C=C/C(=C/C=C/C(=C/C(=O)O)/C)/C	ATRA	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/444795"" target= ""_blank"">PubChem</a>"	
1014	RDEA119	RDEA119		targeted	in clinical development	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	44182295	COC1=CC(=C(C(=C1NS(=O)(=O)C2(CC2)C[C@@H](CO)O)NC3=C(C=C(C=C3)I)F)F)F	RDEA119	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44182295"" target= ""_blank"">PubChem</a>"	
1015	CI-1040	CI-1040	"PD-18435,PD-184352"	targeted	in clinical development	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	6918454	C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl	CI-1040	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6918454"" target= ""_blank"">PubChem</a>"	
1042	BIRB 0796	BIRB_0796	Doramapimod	targeted	experimental	"p38, JNK2"	JNK and p38 signaling	156422	CC1=CC=C(C=C1)N2C(=CC(=N2)C(C)(C)C)NC(=O)NC3=CC=C(C4=CC=CC=C43)OCCN5CCOCC5	BIRB_0796	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/156422"" target= ""_blank"">PubChem</a>"	
1016	Temsirolimus	Temsirolimus	"Torisel, CCI-779"	targeted	clinically approved	MTOR	TOR signaling	6918289	C[C@@H]1CC[C@H]2C[C@@H](/C(=C/C=C/C=C/[C@H](C[C@H](C(=O)[C@@H]([C@@H](/C(=C/[C@H](C(=O)C[C@H](OC(=O)[C@@H]3CCCCN3C(=O)C(=O)[C@@]1(O2)O)[C@H](C)C[C@@H]4CC[C@H]([C@@H](C4)OC)OC(=O)C(C)(CO)CO)C)/C)O)OC)C)C)/C)OC	Temsirolimus	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/6918289"" target= ""_blank"">PubChem</a>"	
1039	SL 0101-1	SL_0101-1		targeted	experimental	"RSK, AURKB, PIM3"	ERK MAPK signaling	10459196	C[C@H]1[C@@H]([C@H]([C@H]([C@@H](O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC=C(C=C4)O)O)OC(=O)C)OC(=O)C	SL_0101-1	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10459196"" target= ""_blank"">PubChem</a>"	
1061	SB590885	SB590885		targeted	experimental	BRAF	ERK MAPK signaling	35421339	CN(C)CCOC1=CC=C(C=C1)C2=NC(=C(N2)C3=CC=NC=C3)C4=CC5=C(C=C4)/C(=N/O)/CC5	SB590885	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/35421339"" target= ""_blank"">PubChem</a>"	Updated
1053	MK-2206	MK-2206		targeted	in clinical development	"AKT1, AKT2"	PI3K signaling	24964624	C1CC(C1)(C2=CC=C(C=C2)C3=C(C=C4C(=N3)C=CN5C4=NNC5=O)C6=CC=CC=C6)N	MK-2206	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/24964624"" target= ""_blank"">PubChem</a>"	Updated
1054	PD-0332991	PD-0332991	Palbociclib Isethionate	targeted	in clinical development	"CDK4, CDK6"	cell cycle	5330286	CC1=C(C(=O)N(C2=NC(=NC=C12)NC3=NC=C(C=C3)N4CCNCC4)C5CCCC5)C(=O)C	PD-0332991	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5330286"" target= ""_blank"">PubChem</a>"	
1062	AZD6244	AZD6244	selumetinib	targeted	in clinical development	"MAP2K1 (MEK1), MAP2K2 (MEK2)"	ERK MAPK signaling	10127622	CN1C=NC2=C1C=C(C(=C2F)NC3=C(C=C(C=C3)Br)Cl)C(=O)NOCCO	AZD6244	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10127622"" target= ""_blank"">PubChem</a>"	
231	FMK	FMK	KIN001-242	targeted	experimental	RSK	ERK MAPK signaling	644243	CC1=CC=C(C=C1)C2=C(N(C3=NC=NC(=C23)N)CCCO)C(=O)CF	FMK	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/644243"" target= ""_blank"">PubChem</a>"	
1013	Nilotinib	Nilotinib	Tasigna	targeted	clinically approved	ABL	ABL signaling	644241	CC1=C(C=C(C=C1)C(=O)NC2=CC(=CC(=C2)C(F)(F)F)N3C=C(N=C3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	Nilotinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/644241"" target= ""_blank"">PubChem</a>"	
1050	ZM-447439	ZM-447439		targeted	experimental	AURKB	mitosis	9914412	COC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC=C(C=C3)NC(=O)C4=CC=CC=C4)OCCCN5CCOCC5	ZM-447439	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9914412"" target= ""_blank"">PubChem</a>"	
1239	YK 4-279	YK_4-279		targeted	experimental	RNA helicase A	other	44632017	COC1=CC=C(C=C1)C(=O)CC2(C3=C(C=CC(=C3NC2=O)Cl)Cl)O	YK_4-279	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/44632017"" target= ""_blank"">PubChem</a>"	
1046	681640	681640		targeted	experimental	"WEE1, CHEK1"	cell cycle	10384072	C1=CC=C(C(=C1)C2=CC3=C(C4=C(N3)C=CC(=C4)O)C5=C2C(=O)NC5=O)Cl	681640	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10384072"" target= ""_blank"">PubChem</a>"	Compound name not found but was able to trace with CID
1025	SB 216763	SB_216763		targeted	experimental	"GSK3A, GSK3B"	WNT signaling	176158	CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=C(C=C(C=C4)Cl)Cl	SB_216763	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/176158"" target= ""_blank"">PubChem</a>"	
1529	MLN4924	MLN4924	Pevonedistat	targeted	in clinical development	NEDD8-activating enzyme	other	16720766	C1CC2=CC=CC=C2[C@H]1NC3=C4C=CN(C4=NC=N3)[C@@H]5C[C@H]([C@H](C5)O)COS(=O)(=O)N	MLN4924	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16720766"" target= ""_blank"">PubChem</a>"	
1166	QL-VIII-58	QL-VIII-58		targeted	experimental	"MTOR, ATR"	TOR signaling	NA	NA	QL-VIII-58	NA	Compound not found
1164	XMD8-92	XMD8-92		targeted	experimental	MAP2K5 (ERK5)	other	46843772	CCOC1=C(C=CC(=C1)N2CCC(CC2)O)NC3=NC=C4C(=N3)N(C5=CC=CC=C5C(=O)N4C)C	XMD8-92	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/46843772"" target= ""_blank"">PubChem</a>"	
1142	HG-5-113-01	HG-5-113-01		targeted	in clinical development	"LOK, LTK, TRCB, ABL(T315I)"	ABL signaling	NA	NA	HG-5-113-01	NA	Compound not found
1158	XMD11-85h	XMD11-85h		targeted	experimental	"BRSK2, FLT4, MARK4, PRKCD, RET, SPRK1"	other	NA	NA	XMD11-85h	NA	Compound not found
1161	ZG-10	ZG-10		targeted	experimental	IRAK1	other	57340680	CN(C)C/C=C/C(=O)NC1=CC=C(C=C1)C(=O)NC2=CC=CC(=C2)NC3=NC=CC(=N3)C4=CN=CC=C4	ZG-10	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/57340680"" target= ""_blank"">PubChem</a>"	
1143	HG-5-88-01	HG-5-88-01		targeted	experimental	"EGFR, ADCK4"	EGFR signaling	NA	NA	HG-5-88-01	NA	Compound not found
1203	QL-XII-61	QL-XII-61		targeted	experimental	BTK	other	NA	NA	QL-XII-61	NA	Compound not found
6	PHA-665752	PHA-665752		targeted	experimental	MET	RTK signaling	10461815	CC1=C(NC(=C1C(=O)N2CCC[C@@H]2CN3CCCC3)C)/C=C\4/C5=C(C=CC(=C5)S(=O)(=O)CC6=C(C=CC=C6Cl)Cl)NC4=O	PHA-665752	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10461815"" target= ""_blank"">PubChem</a>"	
35	NVP-TAE684	NVP-TAE684	TAE684	targeted	experimental	ALK	RTK signaling	16038120	CC(C)S(=O)(=O)C1=CC=CC=C1NC2=NC(=NC=C2Cl)NC3=C(C=C(C=C3)N4CCC(CC4)N5CCN(CC5)C)OC	NVP-TAE684	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16038120"" target= ""_blank"">PubChem</a>"	
37	Crizotinib	Crizotinib	"Xalkori,PF2341066"	targeted	in clinical development	"MET, ALK"	RTK signaling	11626560	C[C@H](C1=C(C=CC(=C1Cl)F)Cl)OC2=C(N=CC(=C2)C3=CN(N=C3)C4CCNCC4)N	Crizotinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11626560"" target= ""_blank"">PubChem</a>"	
34	Imatinib	Imatinib	"Gleevec,STI-571"	targeted	clinically approved	"ABL, KIT, PDGFR"	ABL signaling	5291	CC1=C(C=C(C=C1)NC(=O)C2=CC=C(C=C2)CN3CCN(CC3)C)NC4=NC=CC(=N4)C5=CN=CC=C5	Imatinib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/5291"" target= ""_blank"">PubChem</a>"	
38	AZD-0530	AZD-0530	"AZD-0530,KIN001-045"	targeted	in clinical development	"SRC, ABL1"	ABL signaling	10302451	CN1CCN(CC1)CCOC2=CC3=C(C(=C2)OC4CCOCC4)C(=NC=N3)NC5=C(C=CC6=C5OCO6)Cl	AZD-0530	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/10302451"" target= ""_blank"">PubChem</a>"	
29	AZ628	AZ628		targeted	experimental	BRAF	ERK MAPK signaling	11676786	CC1=C(C=C(C=C1)NC(=O)C2=CC(=CC=C2)C(C)(C)C#N)NC3=CC4=C(C=C3)N=CN(C4=O)C	AZ628	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11676786"" target= ""_blank"">PubChem</a>"	
89	Parthenolide	Parthenolide		targeted	in clinical development	NFKB1	other	7251185	C/C/1=C\CC[C@@]2([C@H](O2)[C@@H]3[C@@H](CC1)C(=C)C(=O)O3)C	Parthenolide	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/7251185"" target= ""_blank"">PubChem</a>"	
91	KIN001-135	KIN001-135		targeted	experimental	IKKE	other	11626927	COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C#N)OCC4=CC=CC=C4S(=O)(=O)C)OC	KIN001-135	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11626927"" target= ""_blank"">PubChem</a>"	Compound not found
30	Sorafenib	Sorafenib	"BAY-439006, Nexavar"	targeted	clinically approved	"PDGFRA, PDGFRB, KDR, KIT, FLT3"	RTK signaling	216239	CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F	Sorafenib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/216239"" target= ""_blank"">PubChem</a>"	
104	Bortezomib	Bortezomib	"Velcade, LDP-341,PS-341"	targeted	clinically approved	Proteasome	other	387447	B([C@H](CC(C)C)NC(=O)[C@H](CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O	Bortezomib	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/387447"" target= ""_blank"">PubChem</a>"	
127	GSK269962A	GSK269962A	KIN001-155	targeted	experimental	"ROCK1, ROCK2"	cytoskeleton	16095342	CCN1C2=CC(=NC=C2N=C1C3=NON=C3N)OC4=CC=CC(=C4)NC(=O)C5=CC=C(C=C5)OCCN6CCOCC6	GSK269962A	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/16095342"" target= ""_blank"">PubChem</a>"	
9	MG-132	MG-132	zLLL	targeted	experimental	Proteasome	other	462382	CC(C)C[C@@H](C=O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)OCC1=CC=CC=C1	MG-132	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/462382"" target= ""_blank"">PubChem</a>"	
11	Paclitaxel	Paclitaxel	"Taxol, BMS-181339-01"	cytotoxic	clinically approved	Microtubules	cytoskeleton	36314	CC1=C2[C@H](C(=O)[C@@]3([C@H](C[C@@H]4[C@]([C@H]3[C@@H]([C@@](C2(C)C)(C[C@@H]1OC(=O)[C@@H]([C@H](C5=CC=CC=C5)NC(=O)C6=CC=CC=C6)O)O)OC(=O)C7=CC=CC=C7)(CO4)OC(=O)C)O)C)OC(=O)C	Paclitaxel	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/36314"" target= ""_blank"">PubChem</a>"	
55	A-770041	A-770041	KIN001-111	targeted	experimental	SRC family	other	9549184	CC(=O)N1CCN(CC1)C2CCC(CC2)N3C4=NC=NC(=C4C(=N3)C5=CC(=C(C=C5)NC(=O)C6=CC7=CC=CC=C7N6C)OC)N	A-770041	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9549184"" target= ""_blank"">PubChem</a>"	
63	BMS-509744	BMS-509744	KIN001-127	targeted	experimental	ITK	other	11467730	CC1=CC(=C(C=C1SC2=CN=C(S2)NC(=O)C3=CC=C(C=C3)CNC(C)C(C)(C)C)C(=O)N4CCN(CC4)C(=O)C)OC	BMS-509744	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/11467730"" target= ""_blank"">PubChem</a>"	Updated
71	Pyrimethamine	Pyrimethamine	Daraprim	cytotoxic	clinically approved	Dihydrofolate reductase (DHFR)	DNA replication	4993	CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl	Pyrimethamine	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/4993"" target= ""_blank"">PubChem</a>"	
87	GW843682X	GW843682X	KIN001-134	targeted	experimental	PLK1	mitosis	9826308	COC1=C(C=C2C(=C1)N=CN2C3=CC(=C(S3)C(=O)N)OCC4=CC=CC=C4C(F)(F)F)OC	GW843682X	"<a href=""https://pubchem.ncbi.nlm.nih.gov/compound/9826308"" target= ""_blank"">PubChem</a>"	
